"1534756749","screen shot","Screen shot have been taken"
"1534758149","backlight ","I don't understand this backlight operation"
"1534758164","backlight up","Success backlight operation"
"1534758168","sound","I don't understand this sound operation"
"1534758174","volume up","Command not found!"
"1534758185","show screen shot","Command not found!"
"1534758193","screen shot show","Screen shot have been taken"
"1534758237","sound min","Success sound operation"
"1534758250","sound disable","Success sound operation"
